Location Description
RESIDENCE
OTHER
HOTEL/MOTEL
""
APARTMENT
SIDEWALK
PARKING LOT/GARAGE(NON.RESID.)
STREET
RESIDENCE-GARAGE
HOSPITAL BUILDING/GROUNDS
BANK
RESTAURANT
DAY CARE CENTER
"SCHOOL, PUBLIC, BUILDING"
AIRPORT BUILDING NON-TERMINAL - SECURE AREA
RESIDENCE PORCH/HALLWAY
RESIDENTIAL YARD (FRONT/BACK)
BAR OR TAVERN
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA
ALLEY
AUTO / BOAT / RV DEALERSHIP
VACANT LOT/LAND
WAREHOUSE
VEHICLE NON-COMMERCIAL
POOL ROOM
PARK PROPERTY
BOAT/WATERCRAFT
MEDICAL/DENTAL OFFICE
CTA STATION
CONVENIENCE STORE
ATHLETIC CLUB
POLICE FACILITY/VEH PARKING LOT
COMMERCIAL / BUSINESS OFFICE
SMALL RETAIL STORE
AIRPORT/AIRCRAFT
ANIMAL HOSPITAL
ATM (AUTOMATIC TELLER MACHINE)
CTA BUS
CURRENCY EXCHANGE
DRIVEWAY - RESIDENTIAL
GOVERNMENT BUILDING/PROPERTY
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA
CONSTRUCTION SITE
DEPARTMENT STORE
SPORTS ARENA/STADIUM
LIBRARY
GAS STATION
CTA PLATFORM
CTA TRAIN
CHURCH/SYNAGOGUE/PLACE OF WORSHIP
AIRPORT VENDING ESTABLISHMENT
"SCHOOL, PRIVATE, BUILDING"
NURSING HOME/RETIREMENT HOME
PAWN SHOP
OTHER RAILROAD PROP / TRAIN DEPOT
CHA APARTMENT
AIRCRAFT
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
DRUG STORE
GROCERY FOOD STORE
BRIDGE
LAKEFRONT/WATERFRONT/RIVERBANK
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA
COLLEGE/UNIVERSITY GROUNDS
CHA PARKING LOT/GROUNDS
OTHER COMMERCIAL TRANSPORTATION
HIGHWAY/EXPRESSWAY
CHA HALLWAY/STAIRWELL/ELEVATOR
"SCHOOL, PRIVATE, GROUNDS"
FACTORY/MANUFACTURING BUILDING
TAXICAB
TAVERN/LIQUOR STORE
VEHICLE-COMMERCIAL
"SCHOOL, PUBLIC, GROUNDS"
CAR WASH
CTA GARAGE / OTHER PROPERTY
CLEANING STORE
APPLIANCE STORE
FIRE STATION
DELIVERY TRUCK
ABANDONED BUILDING
COLLEGE/UNIVERSITY RESIDENCE HALL
CREDIT UNION
FEDERAL BUILDING
CTA BUS STOP
MOVIE HOUSE/THEATER
AIRPORT EXTERIOR - SECURE AREA
BARBERSHOP
SAVINGS AND LOAN
JAIL / LOCK-UP FACILITY
AIRPORT PARKING LOT
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA
CEMETARY
SCHOOL - PRIVATE BUILDING
AIRPORT TRANSPORTATION SYSTEM (ATS)
AIRPORT EXTERIOR - NON-SECURE AREA
BOWLING ALLEY
VEHICLE - OTHER RIDE SERVICE
NEWSSTAND
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA
FOREST PRESERVE
COIN OPERATED MACHINE
"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)"
VEHICLE - DELIVERY TRUCK
SCHOOL - PUBLIC BUILDING
LAKEFRONT / WATERFRONT / RIVERBANK
PARKING LOT
PORCH
HOUSE
RESIDENCE - PORCH / HALLWAY
AUTO
PARKING LOT / GARAGE (NON RESIDENTIAL)
OTHER (SPECIFY)
CTA TRACKS - RIGHT OF WAY
MEDICAL / DENTAL OFFICE
RETAIL STORE
CHURCH / SYNAGOGUE / PLACE OF WORSHIP
CHA PARKING LOT
CHA GROUNDS
YARD
"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)"
VEHICLE - COMMERCIAL
RESIDENCE - GARAGE
KENNEL
FARM
VEHICLE-COMMERCIAL - TROLLEY BUS
GOVERNMENT BUILDING / PROPERTY
RESIDENCE - YARD (FRONT / BACK)
VACANT LOT / LAND
RAILROAD PROPERTY
CTA PARKING LOT / GARAGE / OTHER PROPERTY
HOSPITAL BUILDING / GROUNDS
NURSING / RETIREMENT HOME
VACANT LOT
"CTA ""L"" PLATFORM"
SCHOOL - PUBLIC GROUNDS
CHA PARKING LOT / GROUNDS
