Vict Age
48
0
47
23
46
51
30
55
38
40
24
29
41
11
50
18
37
28
25
31
36
61
27
32
45
22
35
44
20
33
26
52
62
39
54
76
16
21
57
34
65
5
49
58
56
59
42
9
60
92
43
19
15
17
63
83
6
13
12
7
53
10
99
74
84
68
82
66
64
14
69
70
71
73
78
67
80
81
72
86
79
75
77
2
4
8
93
85
3
91
89
87
90
88
96
95
97
98
94
-1
-2
-3
-4
-6
-5
-7
-9
-8
114
118
