AGE_GROUP
25-44
18-24
45-64
<18
65+
941
1928
2007
1042
1918
1916
1947
2000
1937
1942
1953
1998
1024
1948
1048
1922
935
929
1018
937
918
938
927
940
928
926
931
924
942
922
930
932
943
936
955
945
895
948
934
808
317
812
949
923
909
914
231
896
640
709
951
212
925
200
314
954
723
947
309
959
921
910
912
330
446
944
320
894
323
""
339
965
946
UNKNOWN
194
956
352
708
920
816
316
939
237
952
740
338
933
