,Location of death (city)
632,Whittier
634,Riverdale
635,Haughton
637,Parkesburg
638,Independence
640,Battle Creek
641,Little Rock
642,Grand Coteau
643,Rancho Cordova
644,Bellevue
653,West Dallas
657,Adrian
658,Ventura
659,Rio Rancho
660,Opelousas
662,Ambler
663,Mesa
664,Fairview
665,Williamstown
666,Ambrose
667,Honolulu
668,Shreveport
670,Lebanon
671,Terre Haute
678,Champaign
679,Ceres
680,Milwaukee
681,Watervliet
682,Corning
686,Warren
688,Pensacola
690,Potts Camp
692,North Judson
694,Crownpoint
695,Merrillville
696,Gary
697,Euclid
698,St. Joseph
702,Cripple Creek
703,Cambridge Township
706,Wrightstown
708,Hackettstown
711,Akron
713,Tomball
714,Monroe
715,Orleans
717,Mountain View
721,Santa Fe
723,Saginaw
724,Coffman
725,Lake Geneva
729,Vichy
730,Beverly Hills
731,Zebulon
733,King City
734,Monahans
737,Fairbanks
738,Pahrump
744,Borrego Springs
745,Valley Cottage
747,Fort Valley
749,Monrovia
750,Manteca
751,La Porte
752,Roxbury
757,Pleasant Ridge
760,Kent
761,Baytown
762,Portsmouth
764,Bloomingdale
766,Flint
767,Evansville
768,Birmingham
769,Costa Mesa
770,Nogales
771,Sioux City
772,Cahokia
774,Pine Valley
776,Edina
777,Owensboro
778,Bethesda
779,Camp Hill
780,Santa Clarita
781,
782,Lena
783,Marina Del Rey
785,St. Paul
786,Ankeny
787,Tallulah
790,Wayne
792,Creve Coeur
796,Belleville
798,Syracuse
800,Hayward
803,East Windsor
805,Sylmar
806,Lexington
807,Ontario
808,Huntington Park
809,Dale
812,Sayre
817,Decatur
818,Encino
819,Altus
820,La Habra
821,Landes
822,Grasonville
826,Cedar Rapids
827,Redwood City
828,Essex
830,South River
831,Bexley
833,Ypsilanti
834,Union Gap
839,Corona
840,Dorchester
841,Paris
842,Mantua
845,Huffman
847,Ketchikan
849,Bossier City
851,Renton
854,Eden
856,Bay Village
857,D'Iberville
858,Rochester
861,Barberton
863,Jonesborough
864,Lake Oswego
867,Palmer
868,Strawberry Plains
869,Oxnard
871,Citronelle
875,Sherwood
876,Anniston
877,Orange
880,West Seattle
882,Dayton
883,Charlottesville
884,Harwood
889,Athens
891,Rockaway Beach
893,Paterson
894,Mauldin
895,Croydon
896,Spotsylvania
897,Success
898,San Rafael
899,Santa Paula
900,Woodland Park
902,Needles
903,Bolivar
904,Ligonier
905,Jennings
908,Escondido
911,Prescott
914,Tacoma
918,West Branch
922,Winchester
923,Gainesville
926,Natchez
927,Capitola
928,Kutztown
929,Hixson
930,Cozad
932,Benoit
933,Youngstown
936,Vernalis
939,Oneida
940,Odessa
942,Knoxville
943,Kirkersville
945,Fountain Valley
947,Oceanside
948,Ionia
950,Richland
953,Gallatin
954,Kremmling
958,Ardmore
959,Valley Glen
962,Cape Girardeau
963,Westland
965,Katy
970,Walnut Creek
975,Hornell
