,Location of death (city)
3835,Lilburn
3837,Wetumpka
3839,Jenkins
3847,Hammondville
3848,Maywood Park
3855,Banks Crossing
3859,Maplewood
3861,Elk Mountain
3863,Colton
3873,Town 'N' Country
3874,La Mesa
3875,Coaldale
3877,Paia
3884,Rocklin
3888,Zachary
3892,Fergus Falls
3899,Muscatine
3903,Beaufort
3906,Sun Valley
3909,Southampton
3910,Clyde
3917,Chino
3922,Salem
3924,Port Deposit
3925,Atlantic City
3929,East Alton
3933,Marlow
3934,Rileyville
3937,Kailua-Kona
3938,Torrington
3940,Harrogate
3943,Thermal
3946,Bedford Heights
3951,Wernersville
3953,Onondaga Township
3957,St. Martinville
3959,Midland
3961,Silverdale
3969,Santa Monica
3980,Kihei
3983,Bolingbrook
3985,Sandy
3986,Malakoff
3992,Louisburg
3994,Romayor
3996,East Flat Rock
4003,Ramsey
4005,Ottawa Lake
4012,Raleigh
4017,Cherokee
4019,Lenoir City
4020,Nacogdoches
4023,Middletown
4026,Monument
4035,Myersville
4040,Coconut Creek
4044,Friona
4049,Marksville
4050,Arbutus
4053,Dunwoody
4056,Marysville
4059,Gold Hill
4063,Rolling Prairie
4064,Bonifay
4065,Sumrall
4066,Axton
4067,Centertown
4080,Sequim
4083,Rome
4087,San Jacinto
4091,Woonsocket
4093,Opa-Locka
4094,Manheim
4095,Belding
4099,Andalusia
4102,Daisetta
4105,Bassfield
4109,Irrigon
4111,New Hope
4112,Stanford
4113,Stroudsburg
4117,Acworth
4119,Bristow
4125,Riverton
4128,Wikieup
4129,Shasta Lake
4130,Monroeville
4133,Bartlesville
4136,Oakdale
4140,Oshkosh
4141,Seffner
4145,Falfurrias
4147,Sunol
4150,Washington Grove
4151,Sharonville
4153,Warwick
4156,Stover
4157,Elamville
4160,Hillsdale
4165,Zion Grove
4167,Pecatonica
4172,Brownsville
4174,Levering
4176,Tukwila
4180,New Holland
4191,Coos Bay
4198,Wrightsville
4199,Geneva
4200,Ketchum
4203,Logansport
4206,Scott
4208,Port Hueneme
4209,Parlier
4212,Platte City
4214,Crownsville
4215,Glen Allen
4221,Lawrenceville
4222,Reidsville
4227,Interlochen
4232,Rock Springs
4234,Wyandanch
4241,Hebron
4243,Waynesboro
4244,Oxon Hill-Glassmanor
4245,Golden Valley
4250,Bridge City
4254,Reading
4262,Woodland
4265,Swartz Creek
4267,Bryson City
4269,Midland Township
4274,Hacienda Heights
4278,Morrow
4281,Statesville
4282,Silverado
4286,Kerrville
4288,Coarsegold
4289,Cayo Costa
4290,Pawnee
4297,Live Oak
4298,Piper City
4300,White Hall
4301,Rosebud
4302,Rathdrum
4303,Grand Prairie
4304,Mequon
4309,Dinuba
4311,Foxboro
4313,Kingdom City
4315,Nazareth
4322,DeQuincy
4323,Charenton
4327,Elizabethton
4333,Wheeling
4336,Converse
4342,Destin
4343,Bell
4345,Acampo
4348,Dixon
4349,Bishopville
4350,Ocala
4352,Burlington
4355,Bay Point
4358,Mont Clare
4359,Cranford
4361,Jay
4368,Westville
4370,Gonzales
4377,Schurz
4378,Babylon
4382,Adel
4403,Ibex Pass
4404,Cudahy
4408,Harrison
4410,Reynoldsburg
4416,Naubinway
4430,Spring
4435,Woodstock
4436,Olmsted Falls
4441,Luther
4450,Upper Darby
4451,Hammond
4455,Mays Landing
4456,Delano
4470,Perth Amboy
4475,Dolan Springs
4480,Ferriday
4482,Dalton
4490,Loveland
4495,New River
4505,Macomb
4506,Happy Valley
4509,Orland Park
4510,Sea Isle City
4516,Delta Junction
4527,Grant
4532,Fort Worth
4533,East Pennsboro Township
4534,Gaylord
4538,Edisto Island
4543,Riegelsville
4546,Galena
4547,Wildwood
4554,Chimayo
4555,Titusville
4556,Aspen Hill
4560,Avoca
4564,Payson
4566,Orangeburg
4569,Imlay
4570,Bridgeport
4574,Norwood
4577,Kalamazoo
4581,South Hackensack
4584,Middleton
4586,Hollister
4592,Hoboken
4595,Blue Island
4597,Flemington
4600,Aylett
4606,Fennville
4607,Budd Lake
4617,Suquamish
4619,Potomac
4621,London
4624,Sierra Vista
4633,Sparta
4639,Pontotoc
4647,Burnham
4650,West Perrine
4652,Colonial Heights
4653,New Cambria
4654,Lake Havasu City
4656,Belle Plaine
4657,Oak Park
4658,Edgewater
4659,Florala
4662,Rockville
4664,Woodbridge
4671,LaGrange
4672,Evanston
4674,Lovelady
4681,Loganville
4684,Fenwick
4685,Elyria
4689,Garberville
4693,New Haven
4699,Brawley
4700,Rush
4701,East Pittsburgh
4705,Sebastopol
4707,Stevenson
4713,Wellington
4715,Crystal Lake
4719,Shelby
4724,Stratford
4733,Ilion
4734,Hartland
4735,Cloverdale
4743,Eureka
4752,Sutherland
4759,Oktaha
4761,Sugarloaf
4763,Oswego
4768,Woodhull Township
4771,Kingman
4772,Lake Elsinore
4773,Bellingham
4774,Davis
4780,Milan
4787,Alabaster
4790,Cloudcroft
4791,Lombard
4794,Heber City
4799,Waynesburg
4802,Lizella
4804,Cutler
4805,Placentia
4816,Beauford
4817,Glen Lyon
4818,Tomah
4827,Mira Loma
4828,Naples
4829,Hayden
4835,Crumrod
4837,Schaghticoke
4841,Macedonia
4842,Newington
4846,Nuevo
4849,Pacifica
4850,West Asheville
4858,East Chicago
4862,St Albans
4865,Temple
4868,Taylorsville
4869,Ringtown
4875,Frisco City
4881,Ashland
4883,Passaic
4886,Owens Cross Roads
4889,Chatham Township
4892,Blacksburg
4896,Hobbs
4901,Elkridge
4905,Brimfield
4909,Anahuac
4913,Goodyear Heights
4917,Port St. Lucie
4927,Sanger
4930,Poteet
4933,Mt. Holly
4937,North Bergen
4941,Farmers Branch
4947,Cuba City
4948,Mission Viejo
4949,Philpot
4950,Deepwater
4957,Northport
4958,Hughes Springs
4962,Midway City
4966,Plano
4968,McIntosh
4976,Pelican
4983,Leesburg
4985,Puryear
4989,Curlew
4998,Calumet City
5001,Rio Rico
5003,Toronto
5010,Ecorse
5013,Finley
5018,Frontenac
5023,Anthem
5025,Napoleonville
5026,Vincennes
5035,Deland
5039,Belmont
5046,Bremen
5047,Grass Valley
5054,West Allis
5057,Park Hills
5060,Woodbine
5062,Scappoose
5067,Edison
5072,Sunbury
5074,Drums
5076,Lynnwood
5078,Hobe Sound
5080,Pikeville
5083,Shelton
5085,Tomahawk
5086,House Springs
5088,White Marsh
5092,Bell Gardens
5097,Indiana
5098,Santa Barbara
5100,Union Beach
5103,Purvis
5104,Easton
5105,Caseyville
5106,Castleberry
5109,Blackey
5119,Westwego
5133,South San Francisco
5136,Hephzibah
5144,Beeville
5154,Murray
5156,Martinsburg
5157,Brownwood
5160,Desert Center
5162,Phelps
5163,Lagunitas-Forest Knolls
5164,Wichita Falls
5166,Randleman
5169,Missoula
5173,Tuscaloosa
5176,Gahanna
5178,Phoenixville
5180,Roy
5182,Belle Vernon
5188,North Bellport
5192,Cyril
5200,Buena Vista
5204,Columbia Heights
5211,Salida
5215,Saranac
5220,McCook
5222,Mandeville
5223,Mountain Brook
5225,Conyers
5233,Tow
5234,Branson
5235,Vancouver
5237,Bradley Beach
5239,Mountain Center
5245,Cedar Hill
5249,Medford
5250,Ajo
5257,Junction
5259,Riviera Beach
5268,Mahnomen
5275,Mililani
5279,North Branch Township
5282,Lakeside
5287,Roseburg
5298,Tualatin
5299,Tustin
5302,Sugar Hill
5304,Sinking Spring
5305,Gwynn Oak
5306,Southaven
5313,Bailey Springs
5324,North San Jose
5334,Worthington
5339,Edmonton
5340,Quincy
5342,Shelbyville
5343,San Pablo
5345,Ledbetter
5347,Bowdoin
5351,Slidell
5353,Casper
5356,Richardson
5357,Maumee
5358,Sunset Hills
5363,Andrews
5364,Chiriaco Summit
5369,Snoqualmie
5372,Cave Spring
5374,West Park
5381,Palatka
5385,Waco
5386,Quakertown
5387,Savoy
5389,Amherst
5393,Norristown
5400,Elberfeld
5403,Varnell
5405,Lake Mary
5407,Big Sandy
5409,Glasford
5411,Billings
5419,Commerce
5420,Altavista
5421,Hewitt
5434,Wadsworth
5438,Braithwaite
5443,Lochbuie
5444,North Pole
5448,Emeryville
5450,Butte
5453,West Valley City
5454,Big Stone Gap
5456,Loachapoka
5466,Euless
5475,Gaffney
5484,Crafton
5489,Edinburgh
5492,Altoona
5494,San Mateo
5495,Karnack
5496,Maud
5503,Center Street
5504,Nevada
5507,Rossburg
5511,West Milton
5512,Bloomfield Township
5517,Webster
5519,Royersford
5520,Horse Cave
5531,Covina
5535,Crater Lake
5542,Bogart
5548,Allen
5549,Los Gatos
5558,Columbiaville
5565,Celina
5569,Elmira
5574,Pine Lake
5577,Seaford
5578,Dublin
5586,Lincoln Acres
5590,Arden Hills
5592,Coventry
5593,Rensselaer
5594,Bellvue
5595,Lumpkin
5599,Duncanville
5604,Newburg
5611,Elephant Butte
5614,Coal Township
5621,Laurelville
5622,Villa Park
5631,Newberry Springs
5635,Loves Park
5637,Watertown Township
5640,Algiers
5642,McAllen
5645,Georgetown
5650,Williamson
5654,Texarkana
5656,Soledad
5662,Campbell
5664,East Rancho Dominguez
5665,Longview
5666,High Springs
5670,Atlantic
5685,North Carrollton
5688,Lost Hills
5689,McHenry
5694,Homeland
5697,Concordia
5705,Brethren
5711,Yuma
5716,Atwood
5720,Moorhead
5722,Boulder City
5731,Climax
5732,Redkey
5755,Windermere
5759,Lonedell
5761,Dunlap
5762,Port Arthur
5764,Atwater
5771,Wilmot
5776,Tuscumbia
5777,Rea
5782,San Leandro
5787,Birds Landing
5789,Cut Bank
5793,Hopland
5801,Burien
5805,Anoka
5806,McFarland
5808,Henrietta
5810,Copley Township
5811,Siloam Springs
5812,West Jordan
5815,Gray
5820,Bettendorf
5822,Arnaudville
5825,Ste. Genevieve
5828,Fitchburg
5829,Blythe
5834,Weeki Wachee
5836,Durango
5837,Redmond
5839,Willingboro
5840,Van Buren
5843,Lititz
5848,Duncannon
5849,Ellwood City
5854,Websterville
5855,Perryville
5857,Staunton
5860,Campobello
5862,Rancho Bernardo
5863,Moline
5864,Duson
5867,Buckeystown
5869,Abilene
5874,Cullowhee
5876,Stafford
5877,Clarkston
5882,Brunswick
5885,Greely
5888,Federal Way
5889,Dardenne Prairie
5891,Albertville
5895,Derby
5897,Odenton
5898,Nitro
5899,West Hartford
5902,Mexia
5905,Corvallis
5911,Monticello
5912,St. Peter
5916,Dewhurst
5919,Oberlin
5921,Coatesville
5926,Amber
5927,Mt. Pleasant
5929,Redlands
5931,Sylvester
5933,Stateline
5937,Overton
5938,Plantersville
5945,West Tawakoni
5955,LeMars
5958,Willis
5961,Palmyra
5962,Aransas Pass
5966,Damascus
5971,College Station
5972,Emden
5980,Eatontown
5981,San Miguel
5982,Yountville
5985,Linden
5987,Hardeeville
5990,Pikesville
5992,Grundy Center
5994,Friendswood
5996,La Follette
5997,Kearney
5999,Forney
6006,Society Hill
6008,San Diego-Tijuana
6009,Los Altos
6016,Berlin
6024,Binghamton
6027,Yonkers
6029,Oshtemo Township
6042,Churubusco
6046,Dunedin
6051,Forsyth
6053,Longwood
6054,Wilkes-Barre
6055,Alma
6056,Escobares
6057,Winnebago Township
6059,Ravenna
6061,Worthington Springs
6071,Marshallville
6076,Clarion
6087,Fair Oaks
6093,Hays
6096,Jamul
6099,Northvale
6100,San Benito
6101,Lowndesboro
6111,Denville
6112,Castroville
6115,McColl
6120,Fullerton
6121,Medical Lake
6122,Huntersville
6128,Norfork
6130,Cassia
6133,Williams
6138,Sedro-Woolley
6144,Ocoee
6149,Mira Mesa
6151,Elkton
6152,Baldwin
6161,Arlington Heights
6163,Barto
6166,Pelion
6171,Jupiter
6172,Eugene
6173,Washington Court House
6179,Fort Pierce
6185,Caret
6195,Temecula
6196,Micanopy
6197,Duchesne
6201,Homer
6207,Cornelia
6208,French Camp
6212,Dateland
6214,Willow Grove
6216,Capitol Heights
6218,Springdale
6220,Winfield
6233,Ashburn
6236,Mableton
6238,Goleta
6239,Snow Creek
6243,State College
6245,Garden Valley
6251,La Plata
6257,Comstock Park
6258,Combine
6263,Coachella
6267,Hagerstown
6271,Far Rockaway
6272,New Bloomfield
6273,Mascot
6277,King George
6282,Bennettsville
6287,Warminster
6292,Mahwah
6293,Elkhorn
6294,Alanson
6299,Choctaw
6303,Pacific
6304,Summit
6306,Norco
6316,Wheelersburg
6327,Rockvale
6334,Elizabethtown
6338,Pawtucket
6341,Cade
6354,Rancho Santa Margarita
6356,Berry Creek
6359,Green Cove Springs
6365,Glen Ellyn
6373,Brighton Township
6378,Kelseyville
6380,Beecher
6382,Westmoreland
6396,Duncan
6397,Ettrick
6400,Annapolis
6402,Clements
6408,Addison
6411,Cypress
6414,Chantilly
6417,Pottsville
6423,Coolidge
6425,Kingsport
6427,Millville
6431,Swanton
6435,Hampshire
6443,Bremerton
6446,Adairsville
6452,Fort Scott
6454,Pickerington
6455,Chewelah
6469,Darlington
6471,Winder
6479,Redford Charter Township
6481,Little America
6485,Ridgely
6489,Rutland
6491,David
6492,Germantown
6495,Kennett
6504,Hoffman Estates
6512,Eastlake
6513,University City
6515,Altamonte Springs
6526,Mayer
6534,Weatherford
6541,Alda
6557,Mounds
6560,Plainville
6563,Summerville
6574,Hallandale Beach
6579,Punta Gorda
6583,Arkansas City
6584,Boardman
6586,Highlands
6588,Mount Olive
6601,Cape Coral
6605,Earlimart
6608,Frisco
6616,Aromas
6622,Caldwell
6624,Monterey Park
6625,Spanaway
6626,Eldora
6628,Fort Walton Beach
6629,Glencoe
6637,North Smithfield
6638,Darby
6643,Beckley
6651,"Stony Creek, VA"
6654,New Stanton
6659,Harvard
6661,Mukwonago
6668,Weaverville
6671,McLean
6676,North Palm Beach
6692,Ghent
6693,Crete
6705,Big Springs
6706,Walnutport
6707,Marlborough
6708,Ridgeway
6709,Jurupa Valley
6712,Vandalia
6715,Sidney
6722,Harris
6723,Salina
6726,Royal Oak
6743,Hermann
6747,Newaygo
6750,DeSoto
6753,Sheboygan
6755,Johnson City
6756,St. Ann
6757,Wabasso
6758,Allendale
6762,Dixie Inn
6763,Wallingford
6764,Pine Level
6772,Falls City
6777,Dunn
6782,Hudson Oaks
6783,Algonquin
6797,Quinter
6799,Attalla
6804,Hannibal
6814,Moncks Corner
6830,Cherryland
6838,Pocatello
6841,Clarkstown
6842,Eustace
6844,West Carrollton
6846,DeLand
6847,Victoria
6848,Irondale
6864,Grinnell
6869,Angels Camp
6874,Honea Path
6877,Plainview
6886,La Pine
6887,Magalia
6890,Wonder Lake
6894,Wisconsin Dells
6900,Neenah
6902,Pinckney
6903,Florham Park
6904,Village of Clarkston
6906,Lawson
6911,Coloma
6919,Wantagh
6920,Whitewater
6922,Colona
6924,Fulton
6927,Lebanon Junction
6928,Lynchburg
6931,Ormond-by-the-Sea
6935,Marmora
6942,Middleburg
6945,Eau Claire
6949,Claremore
6951,Pequea
6952,Paradise
6956,Catalina
6959,Roma
6966,Channelview
6968,Grantsburg
6969,Llano
6973,Patagonia
6977,Quitman
6983,Sterling Heights
6987,Clearlake Oaks
6991,Bowling Green
6997,Eastham
7000,Milford
7003,District Heights
7015,University Park
7016,Cobb
7017,Jacinto City
7024,Silt
7026,Red Lake
7030,Hoxie
7032,New Bedford
7041,Jerseyville
7051,Newburgh
7052,Cerritos
7060,Lothian
7062,Sun City
7066,Wellsburg
7067,Cathedral City
7071,Cameron
7075,East Los Angeles
7104,Elk
7106,Byhalia
7111,Solana Beach
7112,Moultrie
7114,Orangeville Township
7115,Moscow
7117,Cortland
7118,Atascadero
7126,Clarkridge
7143,Cottondale
7144,Andersonville
7145,Kalispell
7147,Wilton Manors
7151,Santa Fe Springs
7152,Bartlett
7154,Copperas Cove
7159,Lemay
7162,Lahaina
7164,Sulfur Springs
7166,Eveleth
7168,Hazelton
7169,South Portland
7171,Finksburg
7180,Tularosa
7187,Thomaston
7188,Eden Prairie
7197,New Lenox
7199,Watts
7200,Barryville
7201,Exeter
7203,Overland Park
7204,Noble
7205,Wharncliffe
7208,Lodgepole
7212,Reisterstown
7217,Cotter
7226,Point Place
7227,Gillham
7233,Bonaire
7235,Snellville
7236,Mogadore
7237,Canon City
7238,Neosho
7239,Hummelstown
7241,Harveys Lake
7244,East Palo Alto
7245,Rocheport
7248,Bartonville
7250,Fernandina Beach
7259,Nixa
7269,Adelanto
7272,Bohemia
7297,Gastonia
7298,Stillwater
7307,Green Valley
7308,Blowing Rock
7310,Palm Coast
7319,Ozark
7320,Brisbee
7326,Lyons
7328,Moline Acres
7338,Morgan Hill
7341,Burtonsville
7343,Santa Maria
7344,Waimanalo
7346,Beverly
7351,Giddings
7352,Bracey
7355,Home Gardens
7361,Clio
7364,Broxton
7365,Accokeek
7369,Lake Como
7376,Huron
7379,Bassett
7382,Bensalem
7394,Marianna
7397,Chackbay
7400,Clovis
7402,Inver Grove Heights
7410,Mt. Morris
7411,Old Fort
7412,Landis
7413,Twin Falls
7415,North Brunswick
7419,Brownstown Charter Township
7424,Yolo
7445,Wharton
7446,Tracy
7448,Laredo
7453,Muscle Shoals
7459,Ranson
7464,West Memphis
7477,Mattawan
7490,Wellford
7495,Chambersburg
7496,Kempner
7503,Carencro
7506,Jensen Beach
7510,Harleyville
7512,Ripley
7516,Eastland
7517,Channing
7522,Warrior
7529,Bedford Park
7532,Atherton
7536,Park Forest
7537,Kennewick
7538,Big Lake
7549,Poplar
7559,Spauldings
7562,Spiro
7575,Severna Park
7576,South Daytona
7579,Calexico
7584,Pattonville
7586,Vernal
7590,Lennox
7591,Oil City
7594,Oakwood
7602,Perryopolis
7613,Central Falls
7615,Prattville
7622,Pratt
7624,Sheffield
7628,Rolla
7629,Klamath Falls
7631,Elliston
7633,Charles City
7634,Ida Grove
7643,Chesterton
7648,Galivants Ferry
7657,Fort Benton
7673,Margaretville
7675,Silver Spring
7676,Round Rock
7683,Pauls Valley
7689,Lacon
7692,Mt. Kisco
7705,Malta
7706,Dodge City
7708,Pickens
7718,Pearl
7722,Birchwood
7734,West St. Paul
7736,Bartholomew Township
7743,Fort Dodge
7746,Iola
7752,Flora
7754,La Mirada
7769,Proctor
7771,Cut Off
7774,Stuarts Draft
7777,Raywick
7786,Knob Noster
7791,Osakis Township
7793,Ruby
7794,Seat Pleasant
7810,La Paloma
7812,Kountze
7817,Abbeville
7818,Evarts
7819,Panama City Beach
7821,Bedias
7823,Cordova
7824,Hoopa
7828,Shingle Springs
7829,Castle Rock
7833,Waveland
7835,Whitehouse
7836,New Brunswick
7840,Osceola
7845,Palm Bay
7852,San Juan Bautista
7855,Hometown
7856,Marrero
7867,Rusk
7869,North Canton
7874,Bridgewater
7880,Nashua
7881,Centerville
7884,Española
7886,Clackamas
7887,Potsdam
7888,Coalfield
7895,Glasgow
7898,Three Mile Bay
7909,Ocotillo Wells
7911,Natchitoches
7919,Sedalia
7923,Westfir
7925,Redondo Beach
7928,Olmito
7929,Valley Park
7938,Cadillac
7941,Wabash
7942,Kaufman
7944,Westport
7951,Tamarac
7955,Hornbrook
7963,Big Spring
7967,Gretna
7968,Logan
7975,Boonville
7976,Forest
7980,Siler
7982,Omak
7985,Camano Island
7986,Braceville
7989,Slatington
7990,Totowa
7993,McMinnville
8001,Erie
8012,McKee
8028,Orofino
8030,Mt. Sinai
8035,Sandusky
8037,Platte Center
8045,Trevor
8047,Ridgecrest
8062,Framingham
8066,Agoura Hills
8068,Parker
8070,Steamboat Island
8087,Rio Grande City
8089,Juneau
8090,Eastborough
8092,Prairieville
8093,Laveen Village
8097,Raceland
8102,Waterford
8108,Broadview Heights
8111,Ben Wheeler
8120,Gate City
8122,Hobart
8133,Del Mar Heights
8140,Marathon City
8141,Blue Ash
8155,Pleasant Run
8157,Golf Manor
8161,Bel Air
8164,Burkburnett
8167,Pittsgrove Township
8172,Galion
8173,Boring
8175,Mentone
8179,Lytle Creek
8183,El Dorado Hills
8188,Miami Township
8203,Clare
8205,Fairview Heights
8219,Rumford
8220,Campbellsport
8221,New Park
8222,Moab
8223,Waldoboro
8233,Urbana
8240,Bay Shore
8251,Larabee Valley
8253,Crawford
8255,Mooresville
8257,DeRidder
8265,Seabrook
8267,Newberry
8269,Freehold Township
8270,Crandon
8276,Argonne
8277,Oroville
8280,Piggott
8286,Moss Point
8291,Morganton
8294,Balch Springs
8298,Signal Hill
8299,Otisville
8308,Harrold
8314,Winslow
8318,North Miami
8319,Rugby
8323,Gorham
8324,Fruitland
8328,Orosi
8330,Stevens Point
8332,Plummer
8340,Pittsville
8341,Annandale
8357,Wilmer
8360,Grantsville
8363,Grapeland
8365,Wethersfield
8374,Rothbury
8380,Cave Junction
8384,Seguin
8385,Lutz
8386,Highland Falls
8391,Newborn
8397,Halstead
8426,Houstonia
8437,Pahokee
8441,Solon
8443,Benicia
8444,Boiling Springs
8445,Bessemer
8452,Creedmoor
8455,Barstow
8456,Temple City
8477,West Dover
8481,Unicoi
8492,Catonsville
8501,Greencastle
8503,South Gardiner
8507,Blue Rock
8513,Newtown Square
8516,Greeneville
8517,Kenton
8528,Pendleton
8537,Mankato
8542,Kirby
8543,Lenoir
8545,Mounds View
8550,Semmes
8551,Ridgeland
8552,Suitland
8553,Pryor
8565,Arverne
8567,Meggett
8569,Wewoka
8576,Seven Devils
8579,Ava
8582,Rossmoor
8583,West Chester Township
8585,Coral Gables
8588,East Dublin
8594,Pueblo West
8597,Fort Gratiot Township
8602,Winnfield
8607,Longs
8608,East Butler
8609,Boulder
8616,Prickett's Fort
8619,McLeansville
8621,Emsworth
8622,Maryvale
8627,Adamson
8628,Starkville
8630,White Plains
8632,Wicksburg
8637,Perkasie
8650,Conneaut
8652,Campo
8656,Spooner
8677,Atlantic Beach
8681,Rosenberg
8688,Checotah
8692,Phillipston
8696,Bainbridge
8697,Paxico
8700,Harmony
8709,Goodyear
8718,Clifton Heights
8721,Flowood
8731,Watauga
8735,Marana
8736,Verbena
8738,Winston-Salem
8744,Woodruff
8751,Liverpool
8753,New Tazewell
8761,Flat Rock
8763,West Valley
8766,Clear Spring
8779,Hope
8780,Elmont
8782,Jersey Village
8789,Coronado
8790,Hamlin
8802,Cookville
8810,Frostproof
8813,Delta
8814,Scottsville
8815,Abingdon
8819,Tunnel Hill
8824,Davy
8826,Marshfield
8828,Sullivan
8834,New Plymouth
8836,Marionville
8855,England
8859,Caruthersville
8869,Alice
8870,Dundee
8878,Makawao
8882,West Islip
8887,East Moline
8898,Surprise
8900,Cassatt
8905,Bradford
8906,Mannington Township
8907,Millboro
8913,Crest Hill
8916,Upper Arlington
8919,Mansfield
8925,Thrift
8937,Hickory
8938,Centre
8943,Bend
8944,Gering
8947,Holly Hill
8954,Blackfoot
8955,West Alton
8956,North Chicago
8963,Corry
8970,East Bernstadt
8981,Indian Township
8992,Malaga
8997,Electra
9004,North Charlotte
9006,San Bruno
9010,St. Simons Island
9011,Plaquemine
9014,Lake Park
9016,Keswick
9019,Lynn
9025,Fairlawn
9037,Wasilla
9048,Monteagle
9054,McLoud
9055,Othello
9059,Meriden
9061,Gum Spring
9063,Tijeras
9074,Red Bank
9078,Millsboro
9079,Camino
9081,Laurie
9088,Dedham
9097,Port Richey
9101,Rockwall
9103,Somerset
9104,Buckeye
9107,Lake Ariel
9108,Crystal Park
9113,Port St Lucie
9114,Greer
9118,Lehi
9123,Little Falls
9124,Stillwell
9138,Genoa City
9141,Silverton
9157,Brewton
9159,Oakton
9160,Auburn Hills
9164,Wayland
9168,Sandpoint
9181,Harpers Ferry
9185,Saratoga
9195,Centralia
9198,Middleburg Heights
9201,Rockwood
9203,Parsippany
9204,Snow Hill
9215,Westmorland
9217,Rantoul
9223,Warr Acres
9224,Morganfield
9238,Paxton
9254,Mooringsport
9256,State Center
9257,West Yarmouth
9258,Lonoke
9260,Buffalo
9262,Prichard
9263,Mountlake Terrace
9264,Hanna
9270,Rougemont
9271,Royal Palm Beach
9279,Albion
9280,Pamplico
9281,Swissvale
9296,Gustine
9298,Beulah
9303,Lula
9305,Hyde Park
9311,York Haven
9313,Ypsilanti Charter Township
9316,Valmeyer
9318,Kimberly
9319,Langley Park
9321,Palmer Township
9327,Waterflow
9330,Montgomery Village
9337,Skokie
9338,Heyworth
9340,Creston
9343,Lincolnwood
9344,Dodge Center
9345,Pinole
9346,Moberly
9357,Savage
9363,Kingsburg
9376,Warrendale
9377,Wheaton
9382,Lenexa
9398,Plant City
9404,Loxley
9414,Peabody
9428,Schwenksville
9430,Hueytown
9436,Unalakleet
9437,Sanostee
9448,Craig
9459,Pleasant Garden
9464,Booneville
9471,Ramer
9480,Watertown
9482,South Burlington
9484,Blue Springs
9486,Sevierville
9490,Whitney
9493,Hatch
9502,Keller
9509,Portales
9520,Lemoyne
9525,El Sobrante
9537,Sanford
9542,Buffalo Valley
9543,Good Hope
9548,Phillipsburg
9555,Brockton
9563,Dewitt
9575,West Point
9587,Sebring
9588,Frankston
9594,New Port Richey
9596,Irwin
9603,Jenkins Township
9606,Browns Mills
9612,Kenly
9628,Soldotna
9638,Breckenridge
9643,Morrilton
9646,Gerber
9649,Pea Ridge
9656,Bethel
9670,Lucedale
9680,Munith
9682,Leland
9683,Fredonia
9685,Redford Township
9687,Winston
9691,Manteo
9692,San Anselmo
9693,Waxahachie
9699,Pleasant Lake
9701,Stockbridge
9726,Delcambre
9729,Hebbronville
9732,Queen Creek
9734,Sitka
9736,Teaneck
9741,Carlisle
9742,Nederland
9758,Alexander
9760,Scuddy
9763,Soddy Daisy
9765,Schnecksville
9767,Uhrichsville
9774,Plantation
9781,East Greenbush
9782,East Hartford
9786,Thomasville
9788,Shiprock
9790,Selden
9791,Floyd County
9792,Colrain
9794,Monmouth Junction
9798,Havre De Grace
9809,Hutto
9817,Wasco
9821,Widefield
9825,Aiken
9837,Darien
9838,Zwolle
9842,Gardner
9849,Trussville
9850,Taylors
9852,Guntersville
9856,La Luz
9869,Chino Valley
9872,Mentor
9876,Waterproof
9881,Penrose
9885,North Kingstown
9890,South Orange
9897,Bonita Springs
9905,Greensburg
9909,Coffeyville
9911,Raymondville
9923,Shakopee
9927,Port Costa
9928,Humboldt
9929,Zeeland
9932,Zelienople
9954,Isleta Village Proper
9958,Canby
9971,White Lake
9973,Front Royal
9976,Mena
9983,Cedar Falls
10008,Strattanville
10023,Crystal River
10025,Biddeford
10026,Menard
10035,St. Cloud
10036,Glenwood Springs
10042,Frayser
10046,Fogelsville
10048,Wadley
10051,Edenville
10052,Big Sur
10056,Sand Rock
10064,Grifton
10065,Willow Springs
10079,McGrady
10090,North Highlands
10098,Severn
10099,Lohrville
10101,Gloucester City
10102,Rock Island
10106,Bonsall
10107,Santaquin
10108,Phelan
10111,Milwaukie
10114,St. David
10122,Chaparral
10124,Headland
10126,Langhorne
10127,Dyer
10130,Defuniak Springs
10131,Burton
10140,Emmett Township
10142,Mount Pleasant
10149,Twinsburg
10151,McKenzie
10154,Lumberton
10163,Holbrook
10164,Taos
10165,Grand Marais
10168,Jarrell
10169,Harwood Heights
10179,Willow Creek
10182,Foley
10198,Shafter
10202,La Marque
10203,Lyman
10206,Culdesac
10209,Wallowa
10216,Allen Park
10220,Walnut Hill
10238,Window Rock
10243,Tiffin
10244,Carñuel
10250,Foster
10259,Valdosta
10260,Rancho Mirage
10268,West Pensacola
10271,Britt
10276,Minster
10278,Richton
10279,Coolbaugh Township
10288,Broadway
10296,Feasterville-Trevose
10308,Vinton
10309,Clay Center
10312,Warriors Mark
10317,Dixie Valley
10323,Beaver
10327,Kawkawlin
10330,South Windsor
10335,Coopers Plains
10341,Fort Oglethorpe
10342,Millcreek
10345,Yantis
10347,Warrenville
10356,Hershey
10368,Hanover
10372,Johns Creek
10376,Beech Island
10388,Loris
10392,Holden
10395,Council
10417,La Center
10425,Blue River
10432,Laurys Station
10437,Maryland Heights
10438,Jemez Springs
10443,Swanzey
10448,Kasota
10462,Tice
10463,Colfax
