Cause of death
Gunshot
"Gunshot, Taser"
Tasered
Vehicle
Physical Restraint
Chemical agent/Pepper spray
Beaten
Taser
Beaten/Bludgeoned with instrument
Other
"Gunshot, Beanbag Gun"
"Gunshot, Police Dog"
"Gunshot, Bean Bag Gun"
"Gunshot, Pepper Spray"
Bean bag
"Gunshot, Taser, Baton"
"Gunshot, Taser, Beanbag Shotgun"
Pepper Spray
Asphyxiated
"Gunshot, Unspecified Less Lethal Weapon"
Physical restraint
"Taser, Baton"
Bomb
"Taser, Physical Restraint"
"Baton, Pepper Spray, Physical Restraint"
"Gunshot, Vehicle"
"Gunshot, Stabbed"
"Gunshot, Taser, Pepper spray"
"Taser, Pepper Spray, Beaten"
"Taser, Beaten"
"Taser, Pepper spray, beaten"
