Victim's age
Unknown
61
22
33
38
48
53
18
50
58
36
29
26
25
43
44
17
30
31
41
47
39
35
42
37
21
60
27
34
32
52
28
40
45
51
55
67
63
56
73
49
24
59
23
20
62
70
57
68
19
81
65
46
69
64
54
16
66
82
83
75
15
76
74
77
80
14
71
6
78
72
84
89
1
40s
79
91
13
86
10
12
95
5
93
7
107
87
