Weapon Desc
""
HAND GUN
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
UNKNOWN WEAPON/OTHER WEAPON
VERBAL THREAT
SIMULATED GUN
FOLDING KNIFE
OTHER KNIFE
MACE/PEPPER SPRAY
STICK
UNKNOWN FIREARM
SWITCH BLADE
KNIFE WITH BLADE 6INCHES OR LESS
BOARD
BLUNT INSTRUMENT
SEMI-AUTOMATIC PISTOL
VEHICLE
OTHER CUTTING INSTRUMENT
SCISSORS
BOTTLE
KNIFE WITH BLADE OVER 6 INCHES IN LENGTH
BELT FLAILING INSTRUMENT/CHAIN
AUTOMATIC WEAPON/SUB-MACHINE GUN
CLUB/BAT
BRASS KNUCKLES
KITCHEN KNIFE
AIR PISTOL/REVOLVER/RIFLE/BB GUN
SCREWDRIVER
FIRE
STUN GUN
RIFLE
RAZOR BLADE
DIRK/DAGGER
CAUSTIC CHEMICAL/POISON
SHOTGUN
ICE PICK
BOMB THREAT
ROCK/THROWN OBJECT
REVOLVER
OTHER FIREARM
DEMAND NOTE
BOWIE KNIFE
HECKLER & KOCH 93 SEMIAUTOMATIC ASSAULT RIFLE
SCALDING LIQUID
ROPE/LIGATURE
MACHETE
TOY GUN
UZI SEMIAUTOMATIC ASSAULT RIFLE
SAWED OFF RIFLE/SHOTGUN
SWORD
HECKLER & KOCH 91 SEMIAUTOMATIC ASSAULT RIFLE
ASSAULT WEAPON/UZI/AK47/ETC
EXPLOXIVE DEVICE
LIQUOR/DRUGS
FIXED OBJECT
SEMI-AUTOMATIC RIFLE
RAZOR
TIRE IRON
STARTER PISTOL/REVOLVER
AXE
MARTIAL ARTS WEAPONS
CLEAVER
STRAIGHT RAZOR
PHYSICAL PRESENCE
UNK TYPE SEMIAUTOMATIC ASSAULT RIFLE
BOW AND ARROW
UNKNOWN TYPE CUTTING INSTRUMENT
BLACKJACK
SYRINGE
GLASS
MAC-10 SEMIAUTOMATIC ASSAULT WEAPON
HAMMER
CONCRETE BLOCK/BRICK
RELIC FIREARM
PIPE/METAL PIPE
MAC-11 SEMIAUTOMATIC ASSAULT WEAPON
ANTIQUE FIREARM
M-14 SEMIAUTOMATIC ASSAULT RIFLE
DOG/ANIMAL (SIC ANIMAL ON)
M1-1 SEMIAUTOMATIC ASSAULT RIFLE
