Primary Type
DECEPTIVE PRACTICE
CRIM SEXUAL ASSAULT
BURGLARY
THEFT
OFFENSE INVOLVING CHILDREN
CRIMINAL DAMAGE
OTHER OFFENSE
NARCOTICS
SEX OFFENSE
CRIMINAL SEXUAL ASSAULT
BATTERY
MOTOR VEHICLE THEFT
ROBBERY
ASSAULT
CRIMINAL TRESPASS
WEAPONS VIOLATION
OBSCENITY
NON-CRIMINAL
PUBLIC PEACE VIOLATION
LIQUOR LAW VIOLATION
PROSTITUTION
INTIMIDATION
ARSON
INTERFERENCE WITH PUBLIC OFFICER
GAMBLING
STALKING
KIDNAPPING
OTHER NARCOTIC VIOLATION
CONCEALED CARRY LICENSE VIOLATION
HOMICIDE
RITUALISM
HUMAN TRAFFICKING
PUBLIC INDECENCY
NON - CRIMINAL
NON-CRIMINAL (SUBJECT SPECIFIED)
DOMESTIC VIOLENCE
