Crm Cd Desc
VIOLATION OF COURT ORDER
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
OTHER MISCELLANEOUS CRIME
"RAPE, ATTEMPTED"
SHOPLIFTING - PETTY THEFT ($950 & UNDER)
BURGLARY FROM VEHICLE
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
BATTERY - SIMPLE ASSAULT
ROBBERY
BOMB SCARE
CHILD NEGLECT (SEE 300 W.I.C.)
INTIMATE PARTNER - AGGRAVATED ASSAULT
INTIMATE PARTNER - SIMPLE ASSAULT
THEFT PLAIN - PETTY ($950 & UNDER)
CRIMINAL THREATS - NO WEAPON DISPLAYED
ATTEMPTED ROBBERY
VANDALISM - MISDEAMEANOR ($399 OR UNDER)
BURGLARY
ARSON
"RAPE, FORCIBLE"
BRANDISH WEAPON
THROWING OBJECT AT MOVING VEHICLE
SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
SHOTS FIRED AT INHABITED DWELLING
THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)
VEHICLE - STOLEN
KIDNAPPING - GRAND ATTEMPT
CRIMINAL HOMICIDE
THEFT PLAIN - ATTEMPT
"THEFT, PERSON"
TRESPASSING
KIDNAPPING
VEHICLE - ATTEMPT STOLEN
BATTERY WITH SEXUAL CONTACT
DOCUMENT FORGERY / STOLEN FELONY
BATTERY POLICE (SIMPLE)
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
DISTURBING THE PEACE
OTHER ASSAULT
VIOLATION OF RESTRAINING ORDER
LEWD CONDUCT
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
THEFT OF IDENTITY
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
CHILD ANNOYING (17YRS & UNDER)
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
ORAL COPULATION
CRUELTY TO ANIMALS
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
PEEPING TOM
INDECENT EXPOSURE
BIKE - STOLEN
